effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
100	0x0042B3B0	set_role_talk_script_number	+2 u16 role selector then +4 u16 Talk script number, both staged before lookup	6	context source GUID for FFF0; role lookup	found role: write role+0x1E talk_script_id; missing role: submit Talk-only MAPS patch with OR 0, AND FFFF and all other fields preserved	advance 6; common previous100; ESI=1 same-call continue	no script-number validation; FFF0 maps current source GUID; helper-native FFFE resolves controlled role; missing-role port uses typed MAPS database owner	sub_40C0D0; sub_40D460; patch_legacy_maps_role_source_record	0x0042B3B0-0x0042B436;0x00403814-0x0040386D; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
101	0x0042B43B	set_role_status_bit26	+2 u16 role selector staged before lookup; FFF0=current source GUID	4	context source GUID for FFF0; role lookup; role+0x10 flags dword	found role: role.flags |= 0x04000000; missing role: no write or MAPS fallback	advance 4; common previous101; ESI=1 same-call continue	missing role is silently consumed; helper-native FFFE resolves controlled role	sub_40C0D0	0x0042B43B-0x0042B479; shared advance 0x0042D182-0x0042D193; common join 0x0042B0AE-0x0042B0C8	assembly_audited_exact
102	0x0042C567	set_role_status_bit6_from_boolean	+2 u16 selector then lookup; +4 u16 boolean read after lookup	6	controlled index for FFF0; role lookup; role flags; surface footprint	live: flags clear mask 0040 then OR mask for any nonzero value, clear and mark surface; missing: MAPS OR0/AND FFBF or OR0040/AND FFFF	advance 6; common previous102; ESI=1 same-call continue	FFF0 uses controlled index low16 as GUID lookup key; helper-native FFFE selects controlled role; checked surface failure preserves prior flags/partial clear	sub_40C0D0; sub_40AE20; sub_40AEC0; sub_40D460	0x0042C567-0x0042C6D8; shared tail 0x00429F61-0x00429F76; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
103	0x0042C567	set_role_status_bit5_from_boolean	+2 u16 selector then lookup; +4 u16 boolean read after lookup	6	controlled index for FFF0; role lookup; role flags; surface footprint	live: flags clear mask 0020 then OR mask for any nonzero value, clear and mark surface; missing: MAPS OR0/AND FFDF or OR0020/AND FFFF	advance 6; common previous103; ESI=1 same-call continue	FFF0 uses controlled index low16 as GUID lookup key; helper-native FFFE selects controlled role; checked surface failure preserves prior flags/partial clear	sub_40C0D0; sub_40AE20; sub_40AEC0; sub_40D460	0x0042C567-0x0042C6D8; shared tail 0x00429F61-0x00429F76; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
104	0x0042B47E	set_text_layout_pair_and_clear_control_bit28	+2 s16 first value read/written after bit clear; +4 s16 second value read/written afterward	6	text control flags; two staged operand words	clear text bit28, then sign-extend and write first/second values in order	advance 6; common previous104; ESI=1 same-call continue	no range check; missing first preserves bit clear, missing second preserves bit clear plus first write; typed stops isolate raw reads	none	0x0042B47E-0x0042B4B4;0x00427D60-0x00427D86; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
105	0x0042B4B9	clear_text_control_bit27	none	2	full u32 text control flags	text_control_flags &= 0xF7FFFFFF, clearing only bit27	advance 2; common previous105; ESI=1 same-call continue	no operand, helper or conditional branch	none	0x0042B4B9-0x0042B4C5; shared tail 0x00427E7E-0x00427E95; common join 0x0042B0AE-0x0042B0C8	assembly_audited_exact
106	0x0042B4CA	wait_primary_picture_action_byte_strictly_above	+2 u16 threshold read before owner selection	4	primary picture-action list head; first node action.packed_ap_state high u8 only	none	nonempty selected list and byte<=threshold: no advance, common previous106, ESI=0 yield; empty list or byte>threshold: advance 4, common previous106, ESI=1 same-call continue	unsigned strict comparison; thresholds >=255 cannot complete while selected list stays nonempty; missing typed runtime stops after operand	none	0x0042B4CA-0x0042B50A; node+49 = node action+41; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
107	0x0042B50F	wait_role_action_index_at_least_threshold	+2 u16 role selector (FFF0=current state+24), then role lookup, then +4 u16 threshold	6	role lookup; action+0x40 packed word: low byte item limit, high byte one-based current index	none	valid threshold and current index<threshold: no advance, common previous107, ESI=0 yield; current index>=threshold: advance 6, common previous107, ESI=1 same-call; lookup failure or threshold>limit calls empty diagnostic then consumes	threshold equal to the low-byte limit is accepted; only threshold greater than the limit diagnoses; helper-native FFFE resolves controlled role	sub_40C0D0; nullsub_1	0x0042B50F-0x0042B5ED; nullsub_1 0x0044A240; common join 0x0042B0AE-0x0042B0C8	assembly_audited_exact
108	0x0042B5F2	set_next_dialog_anchor_with_fallback_16	+2 u16 X read/written first; +4 u16 Y read/written second; clamp checks only after both writes	6	none	write X/Y to dword_4A135C low/high words; independently replace X>639 or Y>479 with 16	advance 6; common previous108; ESI=1 same-call continue	Y truncation preserves raw X before its fallback check; replacement is not max-bound clamping; u16 negative encodings also become 16	none	0x0042B5F2-0x0042B637; consume 0x00427C2D-0x00427C5F; common join 0x0042B0AE-0x0042B0C8	assembly_audited_exact
109	0x0042B63C	step_role_list	+2 u16 count; then count staged u16 role selectors	4 + 2*u16_count	each role lookup; story-path runtime and role/object state read by sub_42E280	for each found role call sub_42E280 and retain its side effects; missing entries are skipped	post-loop reread count; add low16(4+2*count) to u16 IP; common previous109; ESI=0 audio-service yield	no FFF0 substitution; helper-native FFFE remains; helper return 0/1/2 ignored; zero count accepted; missing later selector/helper retains earlier effects but leaves IP/previous/audio uncommitted	sub_40C0D0; sub_42E280	0x0042B63C-0x0042B6A0;0x0042E280-0x0042E422; fetch ESI 0x00427B59; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
110	0x0042B6A5	reload_if_no_secondary_role_has_bit30	+2 u32 TALK target read only on reload after role scan	6	role count dword_49E0C4; role+0x10 bit30 for indices 1..count-1	reload: audio, publish target, zero IP and replace current same-file TALK window; sequential: no state write	no matching role: reload target and same-call; any match: advance 6, common previous110 and same-call	role0 never tested; count<=1 reloads; sequential branch never reads target; checked I/O failure retains target/IP/audio/previous side effects	sub_42E430	0x0042B6A5-0x0042B707; target fetch 0x00428310-0x00428313; reload join 0x0042CCD5-0x0042CCF2; helper 0x0042E430-0x0042E47B	assembly_audited_platform_adapted
111	0x0042B6A5	reload_if_any_secondary_role_has_bit30	+2 u32 TALK target read only on reload after role scan	6	role count dword_49E0C4; role+0x10 bit30 for indices 1..count-1	reload: audio, publish target, zero IP and replace current same-file TALK window; sequential: no state write	any matching role: reload target and same-call; no match: advance 6, common previous111 and same-call	role0 never tested; count<=1 consumes sequentially; exact boolean inversion of opcode110; sequential branch never reads target; checked I/O failure retains prior effects	sub_42E430	0x0042B6A5-0x0042B707; target fetch 0x00428310-0x00428313; reload join 0x0042CCD5-0x0042CCF2; helper 0x0042E430-0x0042E47B	assembly_audited_platform_adapted
112	0x0042B70C	wait_packed_row_and_role_head_action_lists_empty	none	2	dword_4BAB9C packed-row effect head first; only if null, dword_4BA6E0 role-head action head	none	either head nonnull: keep IP, common previous112, ESI=0 audio-service yield; both null: advance 2, common previous112, ESI=0 audio-service yield	first head short-circuits second read; moving-action dword_4AD3E8 is ignored; success never same-call; typed owner absence stops at corresponding global access point	none	0x0042B70C-0x0042B722; completion tail 0x0042D1BC-0x0042D1D0; common join 0x0042B0AE-0x0042B0C8; audio return 0x0042D4D7-0x0042D4F3	assembly_audited_platform_adapted
113	0x0042B723	play_sound_effect_with_unread_padding	+2 u16 sound id read after mix-level snapshot; +4 u16 padding never read	6	global sound mix level dword_4AB784	submit one centered single-play sample through sub_485610; normal zero-carry common join services audio	sub_485610 return ignored; advance 6, common previous113, ESI=0 normal audio-service yield	padding absence does not stop even though physical length is 6; only sound word is required; common inherited carry remains separate runtime-path scope	sub_485610	0x0042B723-0x0042B738; shared +6 tail 0x0042BEE6-0x0042BEF9; wrapper 0x00485610-0x00485645; common join/audio 0x0042B0AE-0x0042B0C8/0x0042D4D7-0x0042D4F3	assembly_audited_platform_adapted
114	0x0042B739	stage_scene_music_stream_request	+2 u16 first id and +4 u16 second id read/written separately; +6 u16 flags read only after transition apply and early control bit23 write	8	request slots dword_4B7C80/84/88; transition mode/current/pending dword_4B7380/4B7378/4B74F0; dword_4ACDBC flags	write marker, first id, second id; normalize zero mode to one and apply sub_485880; set bit23; derive bits16/17 and clear low byte	advance physical/u16 IP 8; common previous114; ESI=1 same-call continue; no audio service	bit15 suppresses derived bits; otherwise independent bit14 OR30000 then bit13 OR20000; staged truncation preserves all earlier writes and transition effects	sub_485880; nullsub_1	0x0042B739-0x0042B7FB; helper 0x00485880-0x004858C4; diagnostic join 0x0042C717-0x0042C731; common join 0x0042B0AA-0x0042B0C8	assembly_audited_platform_adapted
115	0x0042B7FC	set_stream_100_volume_level_0_to_11	+2 u16 level, zero-extended before both signed comparisons	4	Miles/typed stream manager entry 100; no VM mix-level state write	clamp u16 values greater than 11 to 11, call sub_485850 once, and ignore its return	advance physical/u16 IP 4; common previous115; ESI=0 audio service and yield	negative clamp block is unreachable after xor-eax/mov-ax; missing manager/stream and backend readback never affect VM flow	sub_485850; sub_4866C0; AIL_set_stream_volume; AIL_stream_volume	0x0042B7FC-0x0042B839; wrapper 0x00485850-0x00485874; manager 0x004866C0-0x0048671F; common tails 0x0042C7E6-0x0042C7F6 and 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
116	0x0042B83A	batch_set_role_positions	+2 u16 initial count; count records {u16 selector,u16 X,u16 Y}; FFF0=context source; machine reads Y before X	4 + 6*reread_u16_count	role lookup output; typed story-path owner; controlled role index; dialog bit15	freeze initial count for loop; per record resolve then Y/X, wrap both shifts to u16, call sub_42DAF0(index,x,y,0,-1,-1,-1), then set bit15 when index is controlled	reread count after loop; physical pointer uses full zero-extended length, u16 IP uses low16; ESI=1 previous116 same-call; no audio	lookup bool and helper integer return are ignored; missing index reaches helper role dereference; staged record bounds and typed owner failures preserve prior records	sub_40C0D0; sub_42DAF0	0x0042B83A-0x0042B8E5; resolver 0x0040C0D0-0x0040C0FD; path owner 0x0042DAF0-0x0042E27D; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
