effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
75	0x00429D70	suspend_story_role	+2 raw u16 role selector; no FFF0 substitution	4	unchecked role lookup; exact sub_42E5A0 story-path runtime, occupancy, spatial chain and movement owners	valid role: reconcile selected/nonselected sub-cell movement and saved type-1 slot state, then set role flags bit31; missing role: original calls helper with index -1 before role array	valid completion: advance 4, ESI=1, common join publishes normalized previous, continue same call	FFFE shared controlled lookup remains; modern missing index -1 overrun becomes role_not_found; nullable owner and helper checked failures stop before IP/previous while retaining preceding helper effects	sub_40C0D0; suspend_legacy_world_story_role/sub_42E5A0	0x00429D70-0x00429DA1;0x0042E5A0-0x0042E735; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
76	0x00429DA6	turn_and_suspend_story_role	+2 first u16 selector with FFF0=source GUID; +4 second raw u16 selector read only after first lookup	6	staged role lookups; wrapping role centers from world coordinates plus action extents*8; exact action and sub_42E5A0 story-path owners	valid roles: first action base/delta=0, distance>=4 writes quantized facing to delta, wait=0, refresh, then suspend first role and set flags bit31	valid completion: advance 6, ESI=1, common join publishes normalized previous, continue same call	both original lookup failures continue with index -1 overrun; modern typed-stops at each unsafe point; nullable suspend owner is first checked after action writes/refresh; second FFF0 remains literal	sub_40C0D0; measure_legacy_world_facing/sub_411E20/sub_411F00; sub_4321E0; suspend_legacy_world_story_role/sub_42E5A0	0x00429DA6-0x00429F76; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
77	0x00429F7B	set_role_secondary_action_word	+2 u16 role selector (FFF0=current state+24); +4 u16 value	6 on successful role lookup	role lookup; role embedded action	found role: role+0x88=(value|0x8000), action+0x44=0, then refresh; missing role: fallback helper path	found role: advance 6, ESI=1, continue; missing role: advance by stale/uninitialized interpreter var_40, ESI=1	the missing-role path never assigns the local used as instruction length; its advance depends on prior stack contents in the same interpreter invocation	sub_40C0D0; sub_4321E0; sub_40C060; sub_40AF70	0x00429F7B-0x0042A0A1	assembly_audited_business_name_neutral
78	0x00429F7B	clear_role_secondary_action_word	+2 u16 role selector (FFF0=current state+24)	4 on successful role lookup	role lookup; role embedded action	found role: role+0x88=0, action+0x44=0, then refresh; missing role: fallback helper path	found role: advance 4, ESI=1, continue; missing role: advance by stale/uninitialized interpreter var_40, ESI=1	the missing-role path never assigns the local used as instruction length; its advance depends on prior stack contents in the same interpreter invocation	sub_40C0D0; sub_4321E0; sub_40C060; sub_40AF70	0x00429F7B-0x0042A0A1	assembly_audited_business_name_neutral
79	0x0042A0A6	enqueue_moving_action_object	+2 u16 action id; +4 u16 variant; +6/+8 s16 start X/Y tiles; +10/+12 s16 target X/Y tiles; +14 s16 movement magnitude	16	dword_4AD3E8 moving-object list head	allocate/zero 0xB4-byte action object; store pixel-space endpoints; compute float X/Y increments; prepend to dword_4AD3E8	advance 16; ESI=1; continue in same call	allocation is unchecked; equal endpoints divide by zero in x87; squared-distance arithmetic is 32-bit and can overflow before fsqrt	malloc; sub_40DC00; __ftol consumer in sub_414B60	0x0042A0A6-0x0042A1EA;0x00414B60-0x00414CDF	assembly_audited_business_name_neutral
80	0x0042A1EF	clear_text_control_bit29	none	2	dword_4A1360	dword_4A1360 &= 0xDFFFFFFF	advance 2; ESI=1; continue in same call	none	none	0x0042A1EF-0x0042A1FB;0x00427E7E-0x00427E95	assembly_audited_business_name_neutral
81	0x0042A200	enqueue_role_head_action_object	+2 u16 action id; +4 u16 variant; +6 s16 target X; +8 u16 target Y/mode: low15 Y, bit15 special motion	10	dword_4BA6E0 role-head list head	allocate/zero 0xB4-byte action object; initialize target/start coordinates and motion word; prepend to dword_4BA6E0	advance 10; ESI=1; continue in same call	allocation is unchecked; target X is later interpreted signed; bit15 of +8 changes start/motion behavior instead of belonging to Y	malloc; sub_40DC00; sub_4321E0 consumer	0x0042A200-0x0042A2C1;0x00414CE0-0x00414E40	assembly_audited_business_name_neutral
82	0x0042A2C6	dismiss_role_head_action_object	+2 u16 action id; +4 u16 variant	6	dword_4BA6E0 list; matching node current X and motion word	matching node motion word becomes 10000 when its bit15 is set, otherwise -1 at X<=320 or +1 at X>320	advance 6; ESI=1; continue in same call	only the first matching node is changed; missing match is silently consumed	none	0x0042A2C6-0x0042A33C;0x00414CE0-0x00414E40	assembly_audited_business_name_neutral
83	0x0042A341	upsert_framebuffer_area_effect	+2 u16 id; +4 u16 color/style index; +6 u16 mode; +8/+10/+12/+14 s16 X/Y/width/height with bit0 cleared	16	dword_4BAB9C area-effect list; framebuffer width/height	remove all existing nodes with same low-byte id; allocate 0x18-byte node and two row arrays; initialize mode flags/row spans; prepend to dword_4BAB9C	advance 16; ESI=1; continue in same call	id>=256 or rectangle upper-bound failure only diagnoses; width/height are not required positive; negative height can wrap allocation size; allocations and signed style-table index are unchecked	malloc; free; nullsub_1; sub_417DE0 consumer	0x0042A341-0x0042A547;0x00414E50-0x004151EB	assembly_audited_business_name_neutral
84	0x0042A54C	control_framebuffer_area_effect	+2 u16 id; +4 u16 operation: 0/1 set transition flags, 2 remove	6	dword_4BAB9C area-effect list	first matching low-byte id: op0 OR 0x2000; op1 OR 0x1000; op2 unlink and free node/row arrays	advance 6; ESI=1; continue in same call	id>=256 diagnoses; missing id is silent; for a found id and operation other than 0/1/2, the OR mask comes from stale/uninitialized interpreter var_44	free; nullsub_1	0x0042A54C-0x0042A60C	assembly_audited_business_name_neutral
85	0x0042A611	start_bink_video_from_script_name	+2 byte string terminated by bytes 25 51 (%Q)	4 + byte_count_before_0x5125	logical framebuffer dimensions/pointer; software source surface; CD/path state	clear logical framebuffer; present it to primary; parse path; rewrite .avi/.mpg suffix to .bik; create/open Bink object and set video-active flag	normal parse consumes through %Q and yields; CD/path helper result 2 returns without advancing, so next frame retries same opcode	terminator scan and path copies are unbounded; early CD/path failure leaks the 0x400-byte temporary allocation; Bink open result is not propagated to this handler	sub_437DF0; DirectDraw Blt vcall; AIL_serve; sub_484730; sub_4845A0	0x0042A611-0x0042A66E;0x00484730-0x00484910	assembly_audited_business_name_neutral
86	0x0042A673	rewrite_role_head_action_keys	+2 u16 old action id; +4 u16 old variant; +6 u16 new action id; +8 u16 new variant	10	dword_4BA6E0 role-head list	first node matching old id/variant receives new id/variant	advance 10; ESI=1; continue in same call	missing match is silently consumed	none	0x0042A673-0x0042A6C6;0x0042A2AC-0x0042A2C1	assembly_audited_business_name_neutral
87	0x0042A6CB	random_talk_window_transfer	+2 u32 targets terminated by FF00FF00	control_transfer; footprint 6 + 4*target_count	second global PRNG state; target list	selected target is loaded into TALK window and current script pointer is replaced by dword_4B8860	control transfer; ESI=1; continue in same call	terminator scan is unbounded; an empty list calls sub_439070(0) and triggers integer divide error	sub_439070; sub_42E430	0x0042A6CB-0x0042A722;0x00439070-0x004390E0	assembly_audited_business_name_neutral
