effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
25	0x0042865B	set_global_bit	+2 u16 global bit id	4	addressed byte in byte_4AB384	sub_40DC80 ORs the addressed mask into byte_4AB384; common join publishes previous opcode	set bit, format pure diagnostic text, advance 4, and continue in same call	bit id is not range checked in machine code; fON diagnostic goes only to nullsub_1 and has no business consumer	sub_40DC80; wsprintfA; nullsub_1	0x0042865B-0x004286C0	assembly_audited_business_name_neutral
26	0x00428679	clear_global_bit	+2 u16 global bit id	4	addressed byte in byte_4AB384	sub_40DCB0 ANDs the addressed byte with the selected mask complement; common join publishes previous opcode	clear bit, format pure diagnostic text, advance 4, and continue in same call	bit id is not range checked in machine code; fOFF diagnostic goes only to nullsub_1 and has no business consumer	sub_40DCB0; wsprintfA; nullsub_1	0x00428679-0x004286C0	assembly_audited_business_name_neutral
27	0x004286C5	reload_world_session	+2 u16 logical map id; +4 u16 tile x; +6 u16 tile y; +8 u16 requested action id; +10 u16 requested base variant; +12 u16 requested variant delta	14	controlled role index and selected GUID; FFFF in each of the last three operands independently inherits controlled role action +0x00/+0x08/+0x34; persistent GUID-one action override and player item 0x0192 feed sub_40C130	clear normalized input records and the four movement-transition components in machine order; set process bit0; preload old roles into MAPS; release old world owners; rebuild and synchronously rebind the map/session; clear process bit0; common join publishes previous opcode	advance 14; ESI=1; continue in the same interpreter call against the rebuilt session	all six script operands are zero-extended u16; helper argument seven is literal 1/load_flags bit0; only +8/+10/+12 accept FFFF inheritance; SDL uses a pending session until the interpreter returns so reloaded spans remain valid without making the load asynchronous	sub_42E790; sub_40C130; sub_40D200	0x004286C5-0x0042870E;0x0042E790-0x0042E845	assembly_audited_platform_adapted
28	0x00428713	change_role_path_id	+2 u16 role selector; +4 u16 path id	6	role lookup; role +0x18/+0x1C/+0x34/+0x38 and +0x10; first matching object among 72 slots; object type low nibble; role coordinates; object path cursor and direction byte	found role: conditionally release old +0x38 payload and clear +0x34/+0x38; type 2 clears four link words; misaligned type 1 clears old surface when bit14 is clear, subtracts direction steps to 16-pixel alignment, spatially reinserts and resets the object; then write role+0x1C=path id, +0x18=0 and OR +0x10 with 0x1000; missing role: typed sub_40D460-equivalent MAPS patch	advance 6; common join publishes previous opcode; ESI=0 calls AIL_serve and yields	does not translate FFF0; +4 is read only after live-role payload/object effects or immediately before missing-role patch; invalid direction/cursor/runtime owners are checked platform boundaries replacing raw out-of-bounds or nonterminating behavior	sub_40C0D0; sub_4885A0; sub_40AE20; sub_411530; sub_40DD40; sub_40D460; AIL_serve	0x00428713-0x0042890E;0x0042BEE9-0x0042BEF9;0x0042B0AE-0x0042B0C8;0x0042D4D7-0x0042D4F3	assembly_audited_platform_adapted
29	0x0042B074	set_global_integer	+2 s16 index; +4 s16 value	6	dword_4ACBD0[0] sign bit in shared tail	dword_4ACBD0[index]=sign_extend(value); shared tail clamps element 0 to zero if its sign bit is set	valid signed index (<64): advance 6, ESI=1, continue; index >=64: no advance, ESI=0, yield/retry	signed lower bound is unchecked in machine code; typed owner stops negative index at the original write unsafe point; high-index diagnostic remains exact and repeats on later frames	nullsub_1 on high index	0x0042B074-0x0042B0B2;0x0042B0CD-0x0042B1EC	assembly_audited_platform_adapted
30	0x0042B074	add_global_integer	+2 s16 index; +4 s16 value	6	dword_4ACBD0[index]; dword_4ACBD0[0] sign bit	adds sign-extended value with 32-bit wrap; shared tail clamps element 0 to zero if negative	valid signed index (<64): advance 6, ESI=1, continue; index >=64: no advance, ESI=0, yield/retry	negative machine index addresses before the array and is isolated at the original read/write unsafe point; no overflow or 1000-value cap	nullsub_1 on high index	0x0042B074-0x0042B0B2;0x0042B0F4-0x0042B1EC	assembly_audited_platform_adapted
31	0x0042B074	subtract_global_integer_clamp_zero	+2 s16 index; +4 s16 value	6	dword_4ACBD0[index]; dword_4ACBD0[0] sign bit	subtracts sign-extended value with 32-bit wrap; if result sign bit is set writes zero to selected element; shared tail also clamps element 0	valid signed index (<64): advance 6, ESI=1, continue; index >=64: no advance, ESI=0, yield/retry	negative machine index is isolated at the original read/write unsafe point; sign-bit clamp is not a saturating arithmetic implementation	nullsub_1 on high index	0x0042B074-0x0042B0B2;0x0042B0FD-0x0042B1EC	assembly_audited_platform_adapted
32	0x0042B074	branch_if_global_integer_unsigned_ge	+2 s16 index; +4 s16 threshold; +6 u32 target	10	dword_4ACBD0[index] and sign-extended threshold compared as unsigned 32-bit; element 0 sign bit in shared tail	taken path reloads same TALK window; shared tail can clamp element 0	unsigned value >= unsigned(sign_extend(threshold)): transfer; otherwise advance 10; ESI=1 in both; index >=64 does not advance and yields	machine accepts negative index; typed owner still reads target first then stops at the original array-read unsafe point; high-index diagnostic skips target and repeats	sub_42E430; nullsub_1 on high index	0x0042B074-0x0042B0B2;0x0042B13D-0x0042B1EC	assembly_audited_platform_adapted
33	0x0042B074	branch_if_global_integer_unsigned_le	+2 s16 index; +4 s16 threshold; +6 u32 target	10	dword_4ACBD0[index] and sign-extended threshold compared as unsigned 32-bit; element 0 sign bit in shared tail	taken path reloads same TALK window; shared tail can clamp element 0	unsigned value <= unsigned(sign_extend(threshold)): transfer; otherwise advance 10; ESI=1 in both; index >=64 does not advance and yields	machine accepts negative index; typed owner still reads target first then stops at the original array-read unsafe point; high-index diagnostic skips target and repeats	sub_42E430; nullsub_1 on high index	0x0042B074-0x0042B0B2;0x0042B172-0x0042B1EC	assembly_audited_platform_adapted
34	0x0042890F	set_bounded_counter	+2 u16 value	4	none	dword_4ACDB0=value when value<=1000, otherwise dword_4ACDB0=0	advance 4; ESI=1; continue in same call	out-of-range input resets to zero instead of clamping to 1000	none	0x0042890F-0x0042892F;0x0042D182-0x0042D193	assembly_audited_business_name_neutral
35	0x00428934	branch_if_byte_le_bounded_counter	+2 u8 value; +3 unread byte; +4 u32 target	8	low 16 bits of dword_4ACDB0	taken path reloads same TALK window	u8 value <= u16 counter: transfer; otherwise advance 8; ESI=1 in both	byte +3 is never read; target is branch-only; typed same-file loader adds checked I/O failure after audio and target offset/IP publication	sub_42E430	0x00428934-0x00428967;0x004289A8-0x004289B9	assembly_audited_platform_adapted
