effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
50	0x00429066	start_relative_camera_move	+2 s16 X tile displacement; +4 s16 Y tile displacement; +6 u16 X step; +8 u16 Y step	10	existing remaining X/Y only for overwrite diagnostic; viewport left/top/right/bottom; u32 map width/height	staged writes first X then Y tile displacement and raw zero-extended steps; zero axes clear their step; displacements become wrapping pixel i32; non-divisible steps become 4 then receive displacement sign; endpoint clamp may replace displacement without recomputing step	advance 10; publish previous; ESI=1; continue in same call	nonzero axis with zero step reaches signed hardware IDIV-by-zero after both pixel displacements/raw steps are written; existing motion is overwritten; clamp uses signed wrapping endpoints and permits zero map dimensions; checked owner/window/divide boundaries preserve prior effects	nullsub_1 diagnostics	0x00429066-0x0042935D	assembly_audited_platform_adapted
51	0x00429362	wait_camera_move_complete	none	2	ordered dword reads: remaining X dword_4A99F0, remaining Y dword_4A98C0, step X dword_4A9480, step Y dword_4A93D8	common join publishes normalized previous opcode on both waiting and completed paths	any nonzero: no advance, ESI=0, publish previous, yield; all zero: advance 2, ESI=1, publish previous, continue same call	wait includes displacement and step state; checked camera-pan owner absence stops before first state read and previous publication	none	0x00429362-0x004293A7 and common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
52	0x004293AC	start_three_component_float_interpolation	+2/+4/+6 s16 current components; +8/+10/+12 s16 target components; +14 u16 duration	16	current values are reread through sub_489654 toward-zero float-to-i64 conversion after exact s16-to-float stores	current floats write individually after +2/+4/+6; all three target words are read before target floats write red/green/blue; duration zero-extends to dword countdown; red/green/blue step=(target-current)/duration use x87-compatible rounding/zero bits; common join publishes previous	advance 16; ESI=1; publish previous; continue same call	partial window failure preserves staged current writes, preserves all targets until +8/+10/+12 are readable, then preserves targets before +14 failure; duration zero yields +Inf/-Inf/0xFFC00000 by delta sign; checked owner stops after +2 read before first write	sub_489654 (__ftol)	0x004293AC-0x00429498; sub_489654 0x00489654-0x0048967A; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
53	0x0042949D	wait_three_component_interpolation	none	2	signed dword_4A9934 duration/countdown	common join publishes normalized previous opcode on both waiting and completed paths	countdown >0: no advance, ESI=0, publish previous, yield; countdown <=0: advance 2, ESI=1, publish previous, continue same call	predicate is signed: 1..INT32_MAX wait while 0/-1/INT32_MIN complete; handler does not decrement countdown or modify current/target/step; checked owner stops before first state read and previous publication	none	0x0042949D-0x004294BB; dispatch ESI reset 0x00427B40-0x00427B5B; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
54	0x004294C0	repeat_action_refresh	+2 u16 role selector; FFF0=talk context source GUID; FFFE=controlled role via lookup helper; +4 s16 repeat count	6	selector lookup output is consumed unchecked before signed repeat read; role embedded action record	initial: clear action wait_remaining +0x44 then command_cursor +0x42 and refresh; each positive repeat: clear wait_remaining, refresh, then clear role+0x98 low word/action field_58; refresh failure is diagnostic-only; common join publishes previous	always one initial refresh plus max(repeat,0) repeated refreshes; advance 6; ESI=1; publish previous; continue same call	lookup precedes repeat read; missing lookup yields index -1 and modern typed-stops at first action write only after repeat is readable; negative/zero repeat retains initial refresh writeback and skips field_58 post-clear; final repeated refresh writeback remains except field_58	sub_40C0D0; sub_4321E0; nullsub_1 diagnostics	0x004294C0-0x004295EE; shared +6 tail 0x00428E38-0x00428E4D; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
55	0x004295F3	set_role_spatial_group_1	+2 u16 role selector; FFF0=talk context source GUID; FFFE=controlled role via lookup helper	4	unchecked role lookup; save role flags low2 old group; role world_y u32 and guid u16; spatial row index owner	clear role flags low2 then write 1; relocate by guid from saved old group starting at bit-cast i32 of ((world_y u32 >> 4)-1), with reinsertion using new group	advance 4; ESI remains 0; common join publishes normalized previous; yield	missing lookup is unsafe at first flags read and modern typed-stops; helper role-not-found is diagnostic-only and caller continues; owner/corrupt chain typed-stop after preserving flags or partial unlink	sub_40C0D0; sub_411530/sub_411490	0x004295F3-0x00429676; shared +4 tail 0x0042C7E6-0x0042C7F6; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
56	0x004295F3	set_role_spatial_group_0	+2 u16 role selector; FFF0=talk context source GUID; FFFE=controlled role via lookup helper	4	unchecked role lookup; save role flags low2 old group; role world_y u32 and guid u16; spatial row index owner	clear role flags low2 then write 0; relocate by guid from saved old group starting at bit-cast i32 of ((world_y u32 >> 4)-1), with reinsertion using new group	advance 4; ESI remains 0; common join publishes normalized previous; yield	missing lookup is unsafe at first flags read and modern typed-stops; helper role-not-found is diagnostic-only and caller continues; owner/corrupt chain typed-stop after preserving flags or partial unlink	sub_40C0D0; sub_411530/sub_411490	0x004295F3-0x00429676; shared +4 tail 0x0042C7E6-0x0042C7F6; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
57	0x004295F3	set_role_spatial_group_2	+2 u16 role selector; FFF0=talk context source GUID; FFFE=controlled role via lookup helper	4	unchecked role lookup; save role flags low2 old group; role world_y u32 and guid u16; spatial row index owner	clear role flags low2 then write 2; relocate by guid from saved old group starting at bit-cast i32 of ((world_y u32 >> 4)-1), with reinsertion using new group	advance 4; ESI remains 0; common join publishes normalized previous; yield	missing lookup is unsafe at first flags read and modern typed-stops; helper role-not-found is diagnostic-only and caller continues; owner/corrupt chain typed-stop after preserving flags or partial unlink	sub_40C0D0; sub_411530/sub_411490	0x004295F3-0x00429676; shared +4 tail 0x0042C7E6-0x0042C7F6; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
58	0x0042B1F1	enqueue_primary_picture_action	+2 u16 screen X; +4 u16 screen Y; +6 u16 action id zero-extended to u32; +8 u16 base variant zero-extended to u32	10	primary picture-action list head dword_4B7C70	allocate and zero one 0xA4-byte node before operands; initialize embedded 0x98-byte action at +8; stage four operand writes; after all operands prepend to primary list	advance 10; ESI remains 0; common join publishes normalized previous; yield	malloc result is unchecked before rep stosd; operand fault after allocation leaves an unlinked allocation in the original process; modern typed failures release the temporary node and check the platform owner only after all operands	_malloc; sub_40DC00	0x0042B1F1-0x0042B282; sub_40DC00 0x0040DC00-0x0040DC28; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
59	0x0042967B	play_sound_effect_at_current_mix_level	+2 u16 one-based sound id	4	dword_4AB784 current sample mix level is read before the operand; sound directory and sample-manager state	call sub_485610 with u16 id and current level; wrapper applies wrapping signed ((level << 7) / 11), then requests pan 0 and loop count 1; common join publishes normalized previous	advance 4; ESI remains 0; publish previous; yield after request without observing playback completion	upper ECX bits are ignored by helper AND FFFF; id zero and every audio failure return zero; VM ignores the result; original resource lookup has no proven upper bound while modern manager safely rejects out-of-range ids	sub_485610; sub_485CE0; sub_486260; sub_486490	0x0042967B-0x0042968E; sub_485610 0x00485610-0x00485645; sub_485CE0 0x00485CE0-0x00485E8A; shared +4 tail 0x0042C7E6-0x0042C7F6; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
